coef,value
nearest_station_minutes:land_m2,-8698.551473756106
road:land_m2,11108.851324321788
"C(floor_ratio, contr.treatment('150.0'))[T.100.0]:land_m2",9039.41680521925
"C(floor_ratio, contr.treatment('150.0'))[T.1000.0]:land_m2",-3846.708244487621
"C(floor_ratio, contr.treatment('150.0'))[T.200.0]:land_m2",25727.17562011969
"C(floor_ratio, contr.treatment('150.0'))[T.300.0]:land_m2",53255.59473478618
"C(floor_ratio, contr.treatment('150.0'))[T.400.0]:land_m2",99131.00719949788
"C(floor_ratio, contr.treatment('150.0'))[T.50.0]:land_m2",8813.377823448065
"C(floor_ratio, contr.treatment('150.0'))[T.500.0]:land_m2",184587.40129010178
"C(floor_ratio, contr.treatment('150.0'))[T.60.0]:land_m2",-39936.56451781734
"C(floor_ratio, contr.treatment('150.0'))[T.600.0]:land_m2",299838.0024590033
"C(floor_ratio, contr.treatment('150.0'))[T.700.0]:land_m2",472849.08817760594
"C(floor_ratio, contr.treatment('150.0'))[T.80.0]:land_m2",-44609.60294700899
"C(floor_ratio, contr.treatment('150.0'))[T.800.0]:land_m2",617788.7063380996
"C(building_ratio, contr.treatment('60.0'))[T.30.0]:land_m2",-5986.738721009921
"C(building_ratio, contr.treatment('60.0'))[T.40.0]:land_m2",-12101.925638356617
"C(building_ratio, contr.treatment('60.0'))[T.50.0]:land_m2",-16643.13462667233
"C(building_ratio, contr.treatment('60.0'))[T.80.0]:land_m2",38138.93725593629
"C(orientation, contr.treatment('東'))[T.北]:land_m2",4469.284966629407
"C(orientation, contr.treatment('東'))[T.北東]:land_m2",-772.0614627792871
"C(orientation, contr.treatment('東'))[T.北西]:land_m2",-1240.3907555453598
"C(orientation, contr.treatment('東'))[T.南]:land_m2",9395.942119454636
"C(orientation, contr.treatment('東'))[T.南東]:land_m2",9557.036094984882
